artist,soundcloud_profile,soundcloud_followers,metric_checked_at,short_background,genres,source
Authentically Plastic,https://soundcloud.com/authenticallyplastic,,2026-07-11,"Kampala- and London-based DJ, producer and ANTI-MASS founder whose work makes space for femme and queer artists in Uganda's club culture.","gqom; techno; noise; experimental club; Afrofuturism",https://soundcloud.com/authenticallyplastic
BASHKKA,https://soundcloud.com/bashkka,9204,2026-07-11,"Munich-born DJ and producer shaped by a decade in New York; a Club RAUM, Blitz and Panorama Bar regular and vocal queer/SWANA advocate.","house; acid house; techno; Chicago house; disco",https://m.soundcloud.com/bashkka
CEM,https://soundcloud.com/cemdukkha,,2026-07-11,"Berlin-based DJ, producer and Herrensauna co-founder, with roots in Vienna's punk and queer scenes.","industrial techno; electro; UK club; breakbeats",https://soundcloud.com/cemdukkha
Chloé Caillet,https://soundcloud.com/chloecaillet,14700,2026-07-11,"Paris-based DJ and producer, Xcess Records co-founder and one half of PVBLIC XCESS; her dancefloor sound draws on Bristol and New York nightlife.","house; techno; electro; disco; melodic techno",https://soundcloud.com/chloecaillet
D.Dan,https://soundcloud.com/ddan-tek,,2026-07-11,"Seattle-born, Berlin-based DJ and producer whose style developed through Pacific Northwest basement parties, warehouses and renegades.","techno; acid techno; industrial techno; breakbeats",https://soundcloud.com/ddan-tek
Dgeral,https://soundcloud.com/dgeral,948,2026-07-11,"Caracas-born DJ now active across Stockholm, Copenhagen and Berlin; a core member of SWEAT and a builder of trans-forward queer dance spaces.","old-school house; techno; Latin percussion; queer club",https://m.soundcloud.com/dgeral
Dj Fuckoff,https://soundcloud.com/djfuckoff,17600,2026-07-11,"Berlin-based DJ, producer and MC whose high-energy club sets and productions foreground playful rave pressure.","techno; house; hard house; rave; jungle",https://m.soundcloud.com/djfuckoff
Freddy K,https://soundcloud.com/freddy_k_berlin,40200,2026-07-11,"Italian-born, Berlin-based techno DJ and the founder of Key Vinyl, known for long-form vinyl-led sets.","techno; electro; industrial techno",https://m.soundcloud.com/freddy_k_berlin
HAAi,https://soundcloud.com/haai-2,23000,2026-07-11,"London-based Australian DJ and producer Teneil Throssell, who moved from psych rock into international electronic music and runs the Coconut Beats and Radical New Theory labels.","techno; acid; electronic; psychedelic club",https://m.soundcloud.com/haai-2
Hyperaktivist,https://soundcloud.com/hyperaktivist,12700,2026-07-11,"Berlin DJ and founder of MESS; also a co-founder and resident of Mala Junta, with an emphasis on queer and femme-centred club culture.","techno; electro; acid; breaks; queer club",https://m.soundcloud.com/hyperaktivist
JASSS,https://soundcloud.com/jass-29,13100,2026-07-11,"Asturias-born, Berlin-based sound artist, producer and DJ Silvia Jiménez Alvarez, known for disrupting conventional dance-music forms.","techno; electro; EBM; industrial; bass; breaks",https://m.soundcloud.com/jass-29
Kittin,https://soundcloud.com/misskittin,81000,2026-07-11,"French electronic musician and DJ Caroline Hervé, celebrated for solo work and her longstanding collaborations with The Hacker.","electroclash; electro; techno; house",https://m.soundcloud.com/misskittin
Massimiliano Pagliara,https://soundcloud.com/massimilianopagliara,24700,2026-07-11,"Lecce-born, Berlin-based DJ and producer; a Panorama Bar resident and Funnuvojere Records founder with a warm, eclectic club sound.","house; disco; electro; techno; acid",https://m.soundcloud.com/massimilianopagliara
Octo Octa (LIVE),https://soundcloud.com/octoocta,45400,2026-07-11,"New Hampshire-based DJ and producer Maya Bouldry-Morrison, a key voice in emotionally open, dancefloor-focused electronic music.","house; techno; breakbeat; ambient; drum and bass",https://m.soundcloud.com/octoocta
Quelza,https://soundcloud.com/quelza,23100,2026-07-11,"French producer Léo Naïtaïssa, based in Berlin, whose releases balance deep, mental techno with more spacious ambient work.","techno; deep techno; ambient; experimental electronic",https://m.soundcloud.com/quelza
Roza Terenzi,https://soundcloud.com/rozaterenzi,,2026-07-11,"Australian DJ and producer known for playful, hardware-shaped club music and exploratory sets.","electro; trance; breaks; techno; house",https://soundcloud.com/rozaterenzi
SHERELLE,https://soundcloud.com/iamsherelle,23300,2026-07-11,"London DJ and producer, with shows on BBC 6 Music, NTS and Reprezent Radio; a leading champion of fast UK rave sounds.","jungle; footwork; drum and bass; UK rave; techno",https://m.soundcloud.com/IAmSherelle
Tama Sumo,https://soundcloud.com/tama-sumo,21300,2026-07-11,"Berlin-based DJ celebrated for deeply eclectic and emotionally paced sets, and a long-running Panorama Bar residency.","house; disco; techno; funk; soul",https://m.soundcloud.com/tama-sumo
